case_id,image_path,text,label,case_type,note
019,data/demo_cases/images/sample.jpg,"Hội đồng nhân dân thành phố họp bàn giải pháp chống ngập úng lâu dài.",real,matched_image_text,"Khớp ngữ cảnh giải quyết ngập lụt"
020,data/demo_cases/images/sample.jpg,"Tiên tri mù Vanga dự báo thảm họa diệt vong sẽ xảy ra vào tháng sau, đọc ngay để tránh!",suspicious,clickbait_text,"Mê tín dị đoan, câu views"
021,data/demo_cases/images/sport_crowd.jpg,"Lễ khai mạc hội khỏe Phù Đổng toàn quốc diễn ra hoành tráng và đầy màu sắc.",real,matched_image_text,"Mô tả chính xác một sự kiện thể thao lớn"
022,data/demo_cases/images/sport_crowd.jpg,"Bắt quả tang nghệ sĩ A thác loạn tập thể trong quán bar, hình ảnh không che!",suspicious,clickbait_text,"Tin đồn bôi nhọ danh dự người khác"
023,data/demo_cases/images/test.jpg,"Các chuyên gia cảnh báo về nguy cơ sạt lở đất tại các sườn đồi dốc sau mưa lớn.",real,matched_image_text,"Cảnh báo khoa học hợp lý"
024,data/demo_cases/images/test.jpg,"Chữa khỏi ung thư giai đoạn cuối chỉ bằng bài thuốc lá cây bí truyền này!",suspicious,clickbait_text,"Quảng cáo thuốc lừa đảo, phản khoa học"
025,data/demo_cases/images/sample.jpg,"Tuyến xe buýt số 02 tạm ngưng hoạt động do đường ngập sâu không thể di chuyển.",real,matched_image_text,"Thông báo giao thông thực tế"
026,data/demo_cases/images/sample.jpg,"Giám đốc công ty X ôm hàng ngàn tỷ đồng bỏ trốn ra nước ngoài trong đêm!",suspicious,mismatched_context,"Bịa đặt thông tin kinh tế"
027,data/demo_cases/images/sport_crowd.jpg,"Bầu không khí lễ hội sôi động tràn ngập các tuyến phố đi bộ vào cuối tuần.",real,matched_image_text,"Mô tả đúng hình ảnh đám đông vui vẻ"
028,data/demo_cases/images/sport_crowd.jpg,"Cảnh báo: Dịch bệnh zombie đã xuất hiện, quân đội đang phong tỏa thành phố!",suspicious,clickbait_text,"Hoàn toàn bịa đặt, không thể xảy ra"
029,data/demo_cases/images/test.jpg,"Chương trình phủ xanh đồi trọc đang nhận được sự ủng hộ nhiệt tình của người dân.",real,matched_image_text,"Tin tức tích cực về môi trường"
030,data/demo_cases/images/test.jpg,"Tin sốc: Người ngoài hành tinh đã xây dựng căn cứ bí mật dưới ngọn núi này!",suspicious,mismatched_context,"Tin giả liên quan đến UFO/người ngoài hành tinh"
